Using device: cpu
gc-8.0-bbb-buff60
Goal, Curr: (-1.12,  1.19), (  0.34,  -1.40)   Error: 2.97
Last SG, Last State: (  0.67,  -3.40), ( -0.12,  -1.40)  SG Improvement:0.14181 

Goal, Curr: (-1.05,  0.99), (  0.19,  -1.40)   Error: 2.70
Last SG, Last State: (  1.03,  -3.40), (  0.13,  -1.40)  SG Improvement:-0.05309 

Goal, Curr: (-0.83,  1.06), (  0.16,  -1.40)   Error: 2.65
Last SG, Last State: (  1.20,  -3.40), (  0.24,  -1.40)  SG Improvement:-0.20416 

Goal, Curr: (-1.06,  1.00), (  0.25,  -1.40)   Error: 2.73
Last SG, Last State: (  1.28,  -3.40), (  0.33,  -1.40)  SG Improvement:-0.19418 

Goal, Curr: (-1.14,  0.94), (  0.30,  -1.40)   Error: 2.75
Last SG, Last State: (  1.32,  -3.40), (  0.37,  -1.40)  SG Improvement:-0.18858 

Goal, Curr: (-1.18,  0.97), (  0.25,  -1.40)   Error: 2.76
Last SG, Last State: (  1.20,  -3.40), (  0.26,  -1.40)  SG Improvement:-0.11962 

Goal, Curr: (-1.08,  0.87), (  0.19,  -1.40)   Error: 2.60
Last SG, Last State: (  0.96,  -3.40), (  0.08,  -1.40)  SG Improvement:-0.03024 

Goal, Curr: (-0.95,  1.07), (  0.23,  -1.40)   Error: 2.73
Last SG, Last State: (  1.28,  -3.40), (  0.32,  -1.40)  SG Improvement:-0.21167 

Goal, Curr: (-0.97,  1.24), (  0.29,  -1.40)   Error: 2.92
Last SG, Last State: (  1.26,  -3.40), (  0.32,  -1.40)  SG Improvement:-0.13571 

Goal, Curr: (-0.90,  1.06), (  0.19,  -1.40)   Error: 2.69
Last SG, Last State: (  0.91,  -3.40), (  0.05,  -1.40)  SG Improvement:-0.00420 

episode:00100, mean:-0.62, std:0.14, median:-0.62, success:0.00
Goal, Curr: (-0.89,  0.94), (  1.40,  -0.55)   Error: 2.73
Last SG, Last State: (  2.58,  -2.64), (  1.40,  -0.63)  SG Improvement:0.64235 

Goal, Curr: (-1.13,  1.06), (  1.36,  -0.74)   Error: 3.08
Last SG, Last State: (  2.37,  -3.00), (  1.40,  -0.73)  SG Improvement:-0.70317 

Goal, Curr: (-1.07,  0.79), (  1.40,  -0.87)   Error: 2.97
Last SG, Last State: (  2.10,  -3.00), (  1.40,  -0.88)  SG Improvement:-0.75037 

Goal, Curr: (-1.11,  1.13), (  1.33,  -0.72)   Error: 3.06
Last SG, Last State: (  2.64,  -3.38), (  1.40,  -0.77)  SG Improvement:-3.69673 

Goal, Curr: (-1.25,  1.07), (  1.04,  -1.40)   Error: 3.37
Last SG, Last State: (  2.69,  -2.66), (  1.36,  -0.55)  SG Improvement:-3.82667 

Goal, Curr: (-0.78,  0.77), (  1.09,  -1.40)   Error: 2.87
Last SG, Last State: (  2.43,  -2.85), (  1.36,  -0.73)  SG Improvement:-3.84997 

Goal, Curr: (-0.78,  0.92), (  1.40,  -0.86)   Error: 2.81
Last SG, Last State: (  2.34,  -3.01), (  1.33,  -0.94)  SG Improvement:-0.49862 

Goal, Curr: (-1.19,  0.84), (  1.39,  -0.79)   Error: 3.05
Last SG, Last State: (  2.30,  -2.89), (  1.40,  -0.79)  SG Improvement:-0.37642 

Goal, Curr: (-1.12,  0.93), (  1.40,  -0.81)   Error: 3.06
Last SG, Last State: (  2.59,  -2.75), (  1.40,  -0.70)  SG Improvement:-0.06842 

Goal, Curr: (-0.92,  1.18), (  1.40,  -1.40)   Error: 3.47
Last SG, Last State: (  2.56,  -2.79), (  1.40,  -0.71)  SG Improvement:-2.03134 

episode:00200, mean:-1.06, std:0.22, median:-1.02, success:0.00
Goal, Curr: (-1.00,  1.20), ( -0.03,  -1.40)   Error: 2.77
Last SG, Last State: (  0.18,  -3.40), ( -0.25,  -1.40)  SG Improvement:0.04093 

Goal, Curr: (-0.79,  0.87), (  0.69,  -1.40)   Error: 2.71
Last SG, Last State: (  0.03,  -3.40), (  0.52,  -1.40)  SG Improvement:0.17373 

Goal, Curr: (-1.01,  1.04), ( -0.82,  -1.40)   Error: 2.45
Last SG, Last State: ( -0.24,  -3.40), ( -0.70,  -1.40)  SG Improvement:-1.32803 

Goal, Curr: (-1.08,  1.22), ( -0.21,  -1.40)   Error: 2.75
Last SG, Last State: (  0.35,  -3.40), ( -0.39,  -1.40)  SG Improvement:0.21711 

Goal, Curr: (-0.83,  0.90), (  0.47,  -1.40)   Error: 2.64
Last SG, Last State: ( -0.32,  -3.40), (  0.26,  -1.40)  SG Improvement:-0.22808 

Goal, Curr: (-0.89,  0.97), (  0.53,  -1.40)   Error: 2.76
Last SG, Last State: (  0.11,  -3.40), (  0.33,  -1.40)  SG Improvement:-0.07482 

Goal, Curr: (-1.19,  0.81), (  0.22,  -1.40)   Error: 2.62
Last SG, Last State: ( -0.10,  -3.40), ( -0.03,  -1.40)  SG Improvement:-0.20440 

Goal, Curr: (-0.85,  1.06), ( -0.58,  -1.40)   Error: 2.47
Last SG, Last State: ( -0.43,  -3.40), ( -0.39,  -1.40)  SG Improvement:-1.54474 

Goal, Curr: (-1.00,  1.09), ( -0.75,  -1.40)   Error: 2.50
Last SG, Last State: ( -0.28,  -3.40), ( -0.54,  -1.40)  SG Improvement:-1.67161 

Goal, Curr: (-1.09,  1.20), (  0.16,  -1.40)   Error: 2.88
Last SG, Last State: (  0.32,  -3.40), ( -0.03,  -1.40)  SG Improvement:-0.10755 

episode:00300, mean:-0.62, std:0.23, median:-0.58, success:0.00
Log radii:  [ 2.0794415  -0.2767787  -0.36658263  2.0794415  -2.0794415  -1.8265488 ]
Adjusted log radii:  [2.06944156 2.41322112 2.02341723 2.06944156 1.81055832 1.46345115]
Goal, Curr: (-0.87,  1.23), ( -1.40,  -1.40)   Error: 2.68
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00245 

Goal, Curr: (-0.77,  0.87), ( -1.40,  -1.40)   Error: 2.35
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.01708 

Goal, Curr: (-1.15,  0.78), ( -1.40,  -1.40)   Error: 2.19
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.01533 

Goal, Curr: (-0.80,  0.79), ( -1.40,  -1.40)   Error: 2.27
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00575 

Goal, Curr: (-0.83,  1.06), ( -1.40,  -1.40)   Error: 2.52
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.01703 

Goal, Curr: (-0.96,  0.82), ( -1.40,  -1.40)   Error: 2.26
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.01545 

Goal, Curr: (-1.18,  1.16), ( -1.40,  -1.40)   Error: 2.57
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.09277 

Goal, Curr: (-0.92,  1.18), ( -1.40,  -1.40)   Error: 2.62
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.08634 

Goal, Curr: (-0.97,  0.90), ( -1.40,  -1.40)   Error: 2.34
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00968 

Goal, Curr: (-0.94,  0.97), ( -1.40,  -1.40)   Error: 2.41
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.01549 

episode:00400, mean:-0.51, std:0.13, median:-0.54, success:0.00
Log radii:  [-2.0794415 -1.2211219 -1.0148001  2.0794415 -0.5352706 -1.5754663]
Adjusted log radii:  [-2.07944154  2.36887813  2.27519989  2.36944151  1.55472946  1.1145339 ]
Goal, Curr: (-1.09,  1.08), ( -1.40,  -1.04)   Error: 2.14
Last SG, Last State: (  0.60,  -3.11), ( -1.40,  -1.07)  SG Improvement:-0.06256 

Goal, Curr: (-0.84,  0.80), ( -1.40,  -1.10)   Error: 1.99
Last SG, Last State: (  0.60,  -3.18), ( -1.40,  -1.14)  SG Improvement:-0.06434 

Goal, Curr: (-0.91,  1.07), ( -1.40,  -1.17)   Error: 2.29
Last SG, Last State: (  0.60,  -3.25), ( -1.40,  -1.21)  SG Improvement:-0.06175 

Goal, Curr: (-0.85,  0.78), ( -1.40,  -1.00)   Error: 1.86
Last SG, Last State: (  0.60,  -3.07), ( -1.40,  -1.03)  SG Improvement:-0.05917 

Goal, Curr: (-1.12,  0.88), ( -1.40,  -1.10)   Error: 2.00
Last SG, Last State: (  0.60,  -3.18), ( -1.40,  -1.14)  SG Improvement:-0.06523 

Goal, Curr: (-1.19,  1.21), ( -1.40,  -1.36)   Error: 2.58
Last SG, Last State: (  0.60,  -3.38), ( -1.40,  -1.37)  SG Improvement:-0.01064 

Goal, Curr: (-1.03,  0.89), ( -1.40,  -1.40)   Error: 2.31
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00778 

Goal, Curr: (-1.12,  0.91), ( -1.40,  -1.14)   Error: 2.06
Last SG, Last State: (  0.60,  -3.21), ( -1.40,  -1.18)  SG Improvement:-0.06213 

Goal, Curr: (-0.93,  1.11), ( -1.40,  -1.23)   Error: 2.39
Last SG, Last State: (  0.60,  -3.30), ( -1.40,  -1.26)  SG Improvement:-0.05073 

Goal, Curr: (-1.24,  1.14), ( -1.40,  -1.40)   Error: 2.54
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00784 

episode:00500, mean:-0.16, std:0.04, median:-0.15, success:0.00
Goal, Curr: (-0.93,  0.75), ( -1.40,  -1.24)   Error: 2.04
Last SG, Last State: (  0.60,  -3.01), ( -1.40,  -1.11)  SG Improvement:0.15203 

Goal, Curr: (-0.87,  1.21), ( -1.40,  -1.40)   Error: 2.67
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00320 

Goal, Curr: (-1.10,  0.85), ( -1.40,  -1.40)   Error: 2.27
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.01438 

Goal, Curr: (-0.80,  0.91), ( -1.40,  -1.40)   Error: 2.39
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00844 

Goal, Curr: (-1.03,  0.85), ( -1.40,  -1.40)   Error: 2.28
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00392 

Goal, Curr: (-0.82,  0.92), ( -1.40,  -1.40)   Error: 2.39
