Using device: cpu
gc-8.0-bbb-buff10
Goal, Curr: (-0.86,  0.78), (  1.40,  -1.40)   Error: 3.13
Last SG, Last State: (  0.23,  -0.17), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.07,  0.81), (  1.40,  -1.40)   Error: 3.31
Last SG, Last State: (  0.13,  -0.09), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.13,  1.17), (  1.40,  -1.40)   Error: 3.61
Last SG, Last State: ( -0.01,   0.03), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.12,  0.82), (  1.40,  -1.40)   Error: 3.35
Last SG, Last State: (  0.11,  -0.08), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.79,  0.94), (  1.40,  -1.40)   Error: 3.21
Last SG, Last State: (  0.19,  -0.13), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  1.12), (  1.40,  -1.40)   Error: 3.64
Last SG, Last State: ( -0.03,   0.03), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.93,  0.87), (  1.40,  -1.40)   Error: 3.25
Last SG, Last State: (  0.16,  -0.12), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.79,  1.08), (  1.40,  -1.40)   Error: 3.31
Last SG, Last State: (  0.14,  -0.09), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.85,  0.78), (  1.40,  -1.40)   Error: 3.13
Last SG, Last State: (  0.23,  -0.17), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.13,  1.09), (  1.40,  -1.40)   Error: 3.55
Last SG, Last State: (  0.01,   0.00), (  1.40,  -1.40)  SG Improvement:0.00000 

episode:00100, mean:-1.37, std:0.19, median:-1.29, success:0.00
Goal, Curr: (-0.94,  0.78), (  1.40,   0.98)   Error: 2.35
Last SG, Last State: (  3.40,  -1.12), (  1.40,   0.93)  SG Improvement:-0.01995 

Goal, Curr: (-1.03,  0.75), (  1.40,   1.40)   Error: 2.52
Last SG, Last State: (  3.40,  -0.59), (  1.40,   1.40)  SG Improvement:-0.00998 

Goal, Curr: (-0.76,  1.23), (  1.40,   1.35)   Error: 2.16
Last SG, Last State: (  3.40,  -0.81), (  1.40,   1.27)  SG Improvement:-0.06370 

Goal, Curr: (-0.83,  0.78), (  1.40,   1.07)   Error: 2.25
Last SG, Last State: (  3.40,  -1.01), (  1.40,   1.03)  SG Improvement:-0.01810 

Goal, Curr: (-1.23,  1.13), (  1.40,   0.95)   Error: 2.64
Last SG, Last State: (  3.40,  -1.15), (  1.40,   0.91)  SG Improvement:-0.02075 

Goal, Curr: (-0.93,  0.92), (  1.40,   0.98)   Error: 2.33
Last SG, Last State: (  3.40,  -1.12), (  1.40,   0.93)  SG Improvement:-0.01996 

Goal, Curr: (-0.85,  0.93), (  1.40,   1.18)   Error: 2.26
Last SG, Last State: (  3.40,  -0.90), (  1.40,   1.14)  SG Improvement:-0.01783 

Goal, Curr: (-1.18,  0.82), (  1.40,   1.40)   Error: 2.65
Last SG, Last State: (  3.40,  -0.72), (  1.40,   1.36)  SG Improvement:-0.05896 

Goal, Curr: (-1.09,  1.19), (  1.40,   1.14)   Error: 2.49
