Using device: cpu
gc-1.0-12-1
Goal, Curr: (-1.02,  1.21), ( -1.35,  -1.38)   Error: 2.61
Last SG, Last State: ( -3.39,   0.60), ( -1.38,  -1.39)  SG Improvement:-0.02263 

Goal, Curr: (-0.94,  1.22), ( -1.31,  -1.30)   Error: 2.55
Last SG, Last State: ( -3.38,   0.67), ( -1.35,  -1.32)  SG Improvement:-0.07654 

Goal, Curr: (-1.13,  0.82), ( -1.36,  -1.38)   Error: 2.22
Last SG, Last State: ( -3.40,   0.60), ( -1.38,  -1.39)  SG Improvement:-0.09748 

Goal, Curr: (-1.22,  1.20), ( -1.29,  -1.16)   Error: 2.36
Last SG, Last State: ( -3.36,   0.80), ( -1.33,  -1.19)  SG Improvement:-0.06945 

Goal, Curr: (-0.93,  1.10), ( -1.17,  -0.83)   Error: 1.95
Last SG, Last State: ( -3.19,   0.88), ( -1.17,  -0.99)  SG Improvement:-0.06164 

Goal, Curr: (-1.17,  0.87), ( -1.31,  -1.35)   Error: 2.22
Last SG, Last State: ( -3.38,   0.61), ( -1.35,  -1.38)  SG Improvement:-0.07499 

Goal, Curr: (-0.95,  0.89), ( -1.40,  -1.40)   Error: 2.33
Last SG, Last State: ( -3.40,   0.60), ( -1.40,  -1.40)  SG Improvement:-0.00863 

Goal, Curr: (-1.19,  1.04), ( -1.40,  -1.40)   Error: 2.45
Last SG, Last State: ( -3.40,   0.60), ( -1.40,  -1.40)  SG Improvement:-0.00884 

Goal, Curr: (-1.18,  1.02), ( -1.40,  -1.40)   Error: 2.43
Last SG, Last State: ( -3.40,   0.60), ( -1.40,  -1.40)  SG Improvement:-0.00886 

Goal, Curr: (-0.98,  0.89), ( -1.32,  -1.36)   Error: 2.28
Last SG, Last State: ( -3.38,   0.61), ( -1.36,  -1.38)  SG Improvement:-0.06024 

Goal, Curr: (-1.09,  0.90), ( -1.34,  -1.37)   Error: 2.28
Last SG, Last State: ( -3.39,   0.61), ( -1.37,  -1.39)  SG Improvement:-0.05388 

Goal, Curr: (-1.19,  1.05), ( -1.35,  -1.38)   Error: 2.44
Last SG, Last State: ( -3.40,   0.60), ( -1.38,  -1.39)  SG Improvement:-0.06463 

Goal, Curr: (-1.03,  0.98), ( -1.40,  -1.40)   Error: 2.41
Last SG, Last State: ( -3.40,   0.60), ( -1.40,  -1.40)  SG Improvement:-0.01511 

Goal, Curr: (-1.07,  1.16), ( -1.22,  -1.23)   Error: 2.40
Last SG, Last State: ( -3.32,   0.67), ( -1.27,  -1.29)  SG Improvement:-0.13477 

Goal, Curr: (-0.98,  1.04), ( -1.35,  -1.34)   Error: 2.41
Last SG, Last State: ( -3.39,   0.64), ( -1.38,  -1.36)  SG Improvement:-0.05496 

Goal, Curr: (-0.85,  1.20), ( -1.37,  -1.39)   Error: 2.64
Last SG, Last State: ( -3.40,   0.60), ( -1.39,  -1.40)  SG Improvement:-0.06207 

Goal, Curr: (-0.92,  1.14), ( -1.18,  -1.05)   Error: 2.20
Last SG, Last State: ( -3.28,   0.80), ( -1.23,  -1.14)  SG Improvement:-0.21544 

Goal, Curr: (-0.86,  0.93), ( -1.36,  -1.38)   Error: 2.37
Last SG, Last State: ( -3.40,   0.60), ( -1.39,  -1.39)  SG Improvement:-0.07832 

