Using device: cpu
gc-8.0-tg4-expl0.5
Goal, Curr: (-0.90,  0.90), ( -1.18,  -1.40)   Error: 2.31
Last SG, Last State: ( -1.63,  -3.39), ( -1.15,  -1.40)  SG Improvement:-0.08591 

Goal, Curr: (-1.12,  1.15), ( -1.26,  -1.40)   Error: 2.55
Last SG, Last State: ( -1.80,  -3.39), ( -1.25,  -1.40)  SG Improvement:-0.01145 

Goal, Curr: (-0.93,  0.93), ( -1.24,  -1.40)   Error: 2.35
Last SG, Last State: ( -1.66,  -3.39), ( -1.22,  -1.40)  SG Improvement:-0.00653 

Goal, Curr: (-1.11,  0.87), ( -1.30,  -1.40)   Error: 2.28
Last SG, Last State: ( -1.74,  -3.39), ( -1.29,  -1.40)  SG Improvement:-0.00730 

Goal, Curr: (-0.94,  1.23), ( -1.25,  -1.40)   Error: 2.65
Last SG, Last State: ( -1.78,  -3.39), ( -1.23,  -1.40)  SG Improvement:-0.00487 

Goal, Curr: (-0.97,  1.11), ( -1.28,  -1.40)   Error: 2.53
Last SG, Last State: ( -1.77,  -3.39), ( -1.28,  -1.40)  SG Improvement:0.00062 

Goal, Curr: (-1.16,  0.82), ( -1.30,  -1.40)   Error: 2.23
Last SG, Last State: ( -1.73,  -3.39), ( -1.29,  -1.40)  SG Improvement:-0.00862 

Goal, Curr: (-1.21,  0.94), ( -1.20,  -1.40)   Error: 2.34
Last SG, Last State: ( -1.70,  -3.39), ( -1.17,  -1.40)  SG Improvement:-0.01222 

Goal, Curr: (-1.05,  1.12), ( -1.31,  -1.40)   Error: 2.53
Last SG, Last State: ( -1.82,  -3.39), ( -1.31,  -1.40)  SG Improvement:-0.00998 

Goal, Curr: (-0.93,  1.15), ( -1.22,  -1.40)   Error: 2.56
Last SG, Last State: ( -1.72,  -3.39), ( -1.19,  -1.40)  SG Improvement:-0.00965 

episode:00100, mean:-0.51, std:0.08, median:-0.52, success:0.00
Log radii:  [ 1.3731068  1.8349526 -1.3547091 -1.5567951 -1.3113506 -1.7742015]
Adjusted log radii:  [ 1.36310685  1.8249526   0.13529085 -0.66679513 -0.12135059  0.01579856]
Goal, Curr: (-0.76,  1.13), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00029 

Goal, Curr: (-1.06,  1.20), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00015 

Goal, Curr: (-1.11,  1.22), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00011 

Goal, Curr: (-1.05,  1.17), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00004 

Goal, Curr: (-1.07,  0.76), ( -1.40,  -0.60)   Error: 1.40
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00121 

Goal, Curr: (-0.95,  1.25), ( -1.40,  -0.60)   Error: 1.90
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00041 

Goal, Curr: (-1.05,  0.86), ( -1.40,  -0.60)   Error: 1.50
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00001 

Goal, Curr: (-1.21,  1.00), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00001 

Goal, Curr: (-0.78,  1.00), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00051 

Goal, Curr: (-0.97,  1.21), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00013 

episode:00200, mean:0.31, std:0.14, median:0.26, success:0.00
Goal, Curr: (-0.79,  1.08), ( -1.36,  -0.60)   Error: 1.77
Last SG, Last State: ( -3.30,   1.40), ( -1.40,  -0.60)  SG Improvement:0.32245 

Goal, Curr: (-0.98,  0.99), ( -1.36,  -0.60)   Error: 1.64
Last SG, Last State: ( -3.30,   1.40), ( -1.40,  -0.60)  SG Improvement:0.33346 

Goal, Curr: (-1.23,  0.86), ( -1.40,  -0.60)   Error: 1.47
Last SG, Last State: ( -1.04,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.07070 

Goal, Curr: (-1.12,  1.04), ( -1.40,  -0.60)   Error: 1.66
Last SG, Last State: ( -1.20,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.03674 

Goal, Curr: (-1.01,  1.07), ( -1.40,  -0.62)   Error: 1.74
Last SG, Last State: ( -0.47,   1.38), ( -1.40,  -0.62)  SG Improvement:-0.01717 

Goal, Curr: (-0.77,  1.05), ( -1.36,  -0.60)   Error: 1.76
Last SG, Last State: ( -3.31,   1.40), ( -1.40,  -0.60)  SG Improvement:0.43833 

Goal, Curr: (-0.79,  0.98), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -1.19,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00040 

Goal, Curr: (-1.00,  1.17), ( -1.40,  -0.88)   Error: 2.09
Last SG, Last State: ( -1.39,   1.14), ( -1.40,  -0.83)  SG Improvement:0.08700 

Goal, Curr: (-0.80,  0.91), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: ( -1.17,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00347 

Goal, Curr: (-1.14,  1.09), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.22,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00656 

episode:00300, mean:0.30, std:0.17, median:0.31, success:0.00
Goal, Curr: (-1.06,  0.87), ( -1.40,  -0.78)   Error: 1.68
Last SG, Last State: ( -0.57,   1.16), ( -1.40,  -0.81)  SG Improvement:-0.00120 

