Using device: cpu
no-correction-fin7
Goal, Curr: (-1.23,  0.92), (  1.16,  -1.40)   Error: 3.32
Last SG, Last State: (  3.18,   0.60), (  1.17,  -1.40)  SG Improvement:-0.00678 

Goal, Curr: (-1.18,  0.85), ( -0.03,  -1.40)   Error: 2.53
Last SG, Last State: (  1.10,   0.60), (  0.15,  -1.40)  SG Improvement:-0.32035 

Goal, Curr: (-1.24,  1.12), (  0.80,  -1.40)   Error: 3.25
Last SG, Last State: (  2.59,   0.60), (  0.70,  -1.40)  SG Improvement:0.03523 

Goal, Curr: (-1.21,  1.16), ( -0.71,  -1.40)   Error: 2.61
Last SG, Last State: ( -0.13,   0.60), ( -0.55,  -1.40)  SG Improvement:-0.08615 

Goal, Curr: (-0.91,  1.14), (  0.70,  -1.40)   Error: 3.01
Last SG, Last State: (  2.55,   0.60), (  0.63,  -1.40)  SG Improvement:0.09551 

Goal, Curr: (-1.14,  0.85), ( -0.49,  -1.40)   Error: 2.34
Last SG, Last State: ( -1.93,   0.60), ( -0.33,  -1.40)  SG Improvement:0.15706 

Goal, Curr: (-0.91,  1.13), ( -1.40,  -1.40)   Error: 2.57
Last SG, Last State: ( -3.40,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.24,  1.13), ( -1.40,  -1.40)   Error: 2.53
Last SG, Last State: ( -3.40,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.17,  0.90), (  0.68,  -1.40)   Error: 2.95
Last SG, Last State: (  2.54,   0.60), (  0.61,  -1.40)  SG Improvement:0.10488 

Goal, Curr: (-0.96,  1.11), (  1.40,  -1.07)   Error: 3.21
Last SG, Last State: (  3.40,   0.93), (  1.40,  -1.07)  SG Improvement:0.00040 

Goal, Curr: (-1.07,  0.85), ( -0.66,  -1.40)   Error: 2.29
Last SG, Last State: (  0.24,   0.60), ( -0.49,  -1.40)  SG Improvement:-0.27371 

Goal, Curr: (-0.85,  1.18), (  1.13,  -1.40)   Error: 3.25
Last SG, Last State: (  2.95,   0.60), (  1.04,  -1.40)  SG Improvement:-0.00253 

Goal, Curr: (-1.15,  1.14), (  1.04,  -1.40)   Error: 3.35
Last SG, Last State: (  3.09,   0.60), (  1.06,  -1.40)  SG Improvement:-0.00424 

